layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,55290,1.30371e+07,11200,130.408,1141.16,37223.1,5594.76,0.538947,0,0,1.30113e+07,1956.86,23884.1,0.341053
2,12,12,99761.5,1.1793e+07,12743.1,148.375,1554.38,76332.9,8982.18,0.538947,0,0,1.17369e+07,2944.76,53232.1,0.606316
3,3,12,254154,1.31574e+07,44800,2149.76,4002.12,151841,51360.2,0.538947,0,0,1.30858e+07,21609.5,50040.2,8.18526
4,12,12,104610,1.76262e+07,12743.1,148.375,1554.38,79681.1,10482.2,0.538947,0,0,1.75689e+07,3604.54,53735.4,0.909474
5,3,12,270881,1.32489e+07,44800,2149.76,4114.62,167142,52674.2,0.538947,0,0,1.31641e+07,22621.5,62162.7,10.9137
6,12,12,109455,2.35098e+07,12743.1,148.375,1554.38,83029.3,11979.2,0.538947,0,0,2.34513e+07,4264.32,54241.7,1.21263
7,3,12,287609,1.32764e+07,44800,2149.76,4227.12,182443,53988.1,0.538947,0,0,1.31785e+07,23633.5,74288.3,13.6421
8,12,12,114303,2.93645e+07,12743.1,148.375,1554.38,86377.4,13479.2,0.538947,0,0,2.93049e+07,4924.1,54745,1.51579
9,3,6,354954,2.53547e+07,89600,4299.52,8004.24,197744,55305.1,0.538947,0,0,2.52436e+07,24645.5,86410.8,16.3705
10,12,12,119148,3.51689e+07,12743.1,148.375,1554.38,89725.6,14976.3,0.538947,0,0,3.51081e+07,5583.88,55248.2,1.81895
11,3,6,371681,2.62057e+07,89600,4299.52,8116.74,213045,56619.1,0.538947,0,0,2.60815e+07,25657.4,98536.4,19.0989
12,12,12,123996,4.09733e+07,12743.1,148.375,1554.38,93073.8,16476.3,0.538947,0,0,4.09113e+07,6243.66,55751.5,2.12211
13,3,6,388409,2.64074e+07,89600,4299.52,8229.24,228346,57933,0.538947,0,0,2.62701e+07,26669.4,110659,21.8274
14,12,12,120279,4.68208e+07,12743.1,148.375,1556.08,92330,13501,0.538947,0,0,4.67577e+07,6903.44,56257.8,2.42526
15,12,12,27364.1,2.33943e+07,3185.78,37.0939,388.595,20757.3,2994.8,0.538947,0,0,2.33793e+07,1284.38,13777.7,1.21263
16,3,12,62637.4,1.32058e+07,9756.44,468.17,920.573,39732,11759.6,0.538947,0,0,1.31794e+07,7708.19,18713.3,13.6421
17,12,12,28578.4,2.92411e+07,3185.78,37.0939,388.595,21594.3,3372.06,0.538947,0,0,2.92257e+07,1503.9,13957,1.51579
18,3,6,77303.1,2.51727e+07,19512.9,936.341,1743.15,43064.3,12045.9,0.538947,0,0,2.51424e+07,8440.85,21862.8,16.3705
19,12,12,29789.7,3.50735e+07,3185.78,37.0939,388.595,22431.4,3746.32,0.538947,0,0,3.50577e+07,1723.42,14136.2,1.81895
20,3,6,80946.1,2.60986e+07,19512.9,936.341,1767.65,46396.5,12332.2,0.538947,0,0,2.60644e+07,9173.51,25010.9,19.0989
21,12,12,31001,4.10067e+07,3185.78,37.0939,388.595,23268.4,4120.57,0.538947,0,0,4.09905e+07,1942.93,14315.5,2.12211
22,3,6,84589.1,2.62987e+07,19512.9,936.341,1792.15,49728.7,12618.5,0.538947,0,0,2.62606e+07,9906.17,28155.9,21.8274
