layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,12,12,833782,8.23859e+06,75338.7,877.212,10198.7,614902,132462,3.23368,0,0,7.80566e+06,17567.9,415362,0.538947
2,1,12,5.81308e+06,3.65243e+06,904064,257636,77988,2.77338e+06,1.80001e+06,3.23368,0,0,3.4742e+06,44039.2,134156,34.4926
3,1,12,5.67774e+06,3.65298e+06,904064,257636,77989.7,2.71738e+06,1.72067e+06,3.23368,0,0,3.47475e+06,44039.2,134156,34.4926
4,1,6,3.711e+06,7.12077e+06,890624,148272,76828.7,1.65568e+06,939589,3.23368,0,0,6.94615e+06,35586.4,138967,68.9853
5,1,6,3.93704e+06,1.42069e+07,890624,279165,76830.4,1.83719e+06,853234,3.23368,0,0,1.38944e+07,71172.8,241228,137.971
6,1,3,2.73622e+06,2.81375e+07,863744,165946,74509.9,1.17274e+06,459271,3.23368,0,0,2.77891e+07,87453.6,260627,275.941
7,1,3,2.96327e+06,5.62224e+07,863744,186305,74509.9,1.26192e+06,576789,3.23368,0,0,5.55754e+07,174907,471561,551.882
8,1,3,2.96327e+06,5.62174e+07,863744,186305,74509.9,1.26192e+06,576789,3.23368,0,0,5.55704e+07,174907,471561,551.882
9,3,6,2.0299e+06,3.18461e+07,305237,14647,29056.3,1.14408e+06,536880,3.23368,0,0,3.12592e+07,96254.2,490621,34.4926
10,1,6,4.00406e+06,1.42061e+07,890624,279165,76828.7,1.86477e+06,892663,3.23368,0,0,1.38936e+07,71172.8,241228,137.971
11,1,6,4.00406e+06,1.4204e+07,890624,279165,76828.7,1.86477e+06,892663,3.23368,0,0,1.38915e+07,71172.8,241228,137.971
12,6,12,1.85644e+06,8.38263e+06,152768,4474.37,16588.4,1.1452e+06,537404,3.23368,0,0,7.81526e+06,90125.1,477242,8.62316
13,1,12,5.81308e+06,3.65098e+06,904064,257636,77988,2.77338e+06,1.80001e+06,3.23368,0,0,3.47275e+06,44039.2,134156,34.4926
14,1,12,1.31723e+06,2.10723e+07,150677,87608.7,12998.3,635650,430294,3.23368,0,0,2.08431e+07,85473.4,143544,206.956
15,1,12,1302.58,1.08907e+08,149.333,96.2848,12.7154,620.291,420.726,3.23368,0,0,1.08897e+08,8635.18,689.733,34.4926
total,216,7.52296e+12,5.81308e+06,3.79718e+08,904064,279165,77989.7,2.77338e+06,1.80001e+06,48.5053,0,0,3.74603e+08,1.11655e+06,3.99633e+06,2251.18
