layer,speedup row,speedup col,read latency(ns),write latency(ns),ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
1,6,12,2.22083e+06,5.46705e+06,295705,8660.8,32112.9,1.52503e+06,359293,26.4084,0,0,4.48616e+06,109787,871099,4.95158
2,1,12,1.6979e+06,2.02709e+06,435456,124094,37564.1,755098,345665,26.4084,0,0,1.95438e+06,15036.5,57654.6,19.4021
3,1,12,1.6979e+06,2.02634e+06,435456,124094,37564.1,755098,345665,26.4084,0,0,1.95363e+06,15036.5,57654.6,19.4021
4,1,12,1.6979e+06,2.02749e+06,435456,124094,37564.1,755098,345665,26.4084,0,0,1.95478e+06,15036.5,57654.6,19.4021
5,1,12,1.6979e+06,2.02679e+06,435456,124094,37564.1,755098,345665,26.4084,0,0,1.95408e+06,15036.5,57654.6,19.4021
6,1,6,624642,3.95814e+06,217728,36247.5,18782.1,256609,95249,26.4084,0,0,3.90796e+06,12414.4,37731.2,38.8042
7,1,6,789397,7.90142e+06,201899,58810.6,17416.7,350951,160293,26.4084,0,0,7.81546e+06,24087.2,61802.2,77.6084
8,12,6,208884,4.02238e+06,19512.9,227.2,2641.65,158581,27895.6,26.4084,0,0,3.90566e+06,6770.65,109952,4.31158
9,1,6,789397,7.90237e+06,201899,58810.6,17416.7,350951,160293,26.4084,0,0,7.81641e+06,24087.2,61802.2,77.6084
10,1,6,789397,7.89972e+06,201899,58810.6,17416.7,350951,160293,26.4084,0,0,7.81376e+06,24087.2,61802.2,77.6084
11,1,3,290827,1.57447e+07,100949,17124.7,8708.61,119828,44190.3,26.4084,0,0,1.56328e+07,39510.2,72310.3,155.217
12,1,3,252805,3.14187e+07,86016,16471.2,7420.07,108626,34245.5,26.4084,0,0,3.12607e+07,78438.2,79283.3,310.434
13,12,3,104456,1.56873e+07,9756.44,113.6,1321.07,79290.3,13947.8,26.4084,0,0,1.56197e+07,7079.77,60442.4,17.2463
14,1,3,252805,3.14179e+07,86016,16471.2,7420.07,108626,34245.5,26.4084,0,0,3.12599e+07,78438.2,79283.3,310.434
15,1,3,252805,3.14217e+07,86016,16471.2,7420.07,108626,34245.5,26.4084,0,0,3.12637e+07,78438.2,79283.3,310.434
16,1,1,126913,1.04492e+08,64512,6964.79,5469.05,40437.9,9502.9,26.4084,0,0,1.04204e+08,154077,133116,620.867
17,1,1,92355,1.88034e+08,44800,6533.04,3798.12,29218.5,7978.89,26.4084,0,0,1.87554e+08,306469,171684,1241.73
18,6,1,63088.9,6.99128e+06,14634.7,428.63,1458.61,39565.5,6975.04,26.4084,0,0,6.94605e+06,17114.2,28048.2,68.9853
19,1,1,92355,1.88043e+08,44800,6533.04,3798.12,29218.5,7978.89,26.4084,0,0,1.87564e+08,306469,171684,1241.73
20,1,1,91338.6,1.88052e+08,44800,6533.04,3799.82,28792.3,7387.12,26.4084,0,0,1.87573e+08,306469,171684,1241.73
21,3,1,2037.67,2.78994e+07,597.333,28.6635,59.3616,1183.52,142.387,26.4084,0,0,2.77842e+07,65986.7,48932.4,269.474
total,15552,4.70185e+11,2.22083e+06,8.74461e+08,435456,124094,37564.1,1.52503e+06,359293,554.577,0,0,8.70224e+08,1.69987e+06,2.53056e+06,6146.8
