DNN,V_nn,C,C_tile,V,num computation,speedup row,speedup col,read latency,write latency,ADC(ns),Accumulation(ns),Synaptic Array(ns),Buffer(ns),Interconnect(ns),DRAM(ns),ADC write(ns),Accumulation write(ns),Synaptic Array write(ns),Buffer write(ns),Interconnect write(ns),DRAM write(ns)
cDeepArchContext,263872,1296,9,151,3.41221e+08,12,248832,495700,3.79595e+07,134400,65251.2,11593.9,285779,17490.5,2.69474,0,0,3.77946e+07,49083.1,115715,138.88
cDeepArchObject,366272,1296,9,151,3.41426e+08,12,248832,495700,3.99395e+07,134400,65251.2,11593.9,285779,17490.5,2.69474,0,0,3.97603e+07,62304.1,116699,192.775
DeepEarInputLayer,233472,288,2,0.222656,466944,6,1,1565.55,1.24694e+07,298.667,8.74754,35.4308,1201.32,21.3834,0.000526316,0,0,1.23751e+07,90405.2,3777.75,122.88
DeepEarAmbientScene,2.10227e+06,720,5,3,4.20454e+06,1,12,4146.98,2.53875e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.53032e+08,814103,28637.1,1106.46
DeepEarStress,2.10022e+06,720,5,3,4.20045e+06,1,12,4146.98,2.53564e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.52721e+08,813310,28580.3,1105.38
DeepEarEmotion,2.1033e+06,720,5,3,4.20659e+06,1,12,4146.98,2.53977e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.53132e+08,814500,28661.9,1107
DeepEarSpeaker,2.12173e+06,720,5,3,4.24346e+06,1,12,4146.98,2.54349e+08,1792,158.657,157.585,2008.05,30.6903,0.00157895,0,0,2.53497e+08,821636,29146.1,1116.7
GaitExtractor,4.27725e+06,9792,68,5446,2.15547e+10,216,7.52296e+12,5.81308e+06,3.79718e+08,904064,279165,77989.7,2.77338e+06,1.80001e+06,48.5053,0,0,3.74603e+08,1.11655e+06,3.99633e+06,2251.18
GaitIdentifierCNN,80160,576,4,25.5,2.21184e+07,2592,5184,51880.1,8.64679e+07,8960,262.426,972.924,40780.1,903.825,3.23368,0,0,8.63955e+07,17756.9,54548.5,42.1895
GaitIdentifierLSTM,4.21888e+06,864,6,128.75,1.08003e+09,1,1,443481,2.5245e+08,229376,20308,24224.4,159150,10422.1,0.0673684,0,0,2.51549e+08,615106,284156,2220.46
GaitIdentifierFC,365328,432,3,3.02344,730656,1,6,1671.24,2.10892e+07,298.667,678.525,25.9308,616.527,51.5859,0.000526316,0,0,2.09903e+07,92806,5825.59,192.278
GaitAuthenticLSTM,114816,432,3,7.0625,3.67027e+06,432,108,11190.8,7.57619e+07,3185.78,152.872,303.595,7402.71,145.859,0.0252632,0,0,7.57264e+07,24679.6,10755,60.4295
LeNet,61470,720,5,2.50391,1.29384e+06,31104,62208,25124,8.47479e+07,7168,83.4612,624.042,17003.9,244.182,2.06316,0,0,8.47149e+07,25404.1,7602.7,32.3526
AlexNet,4.67784e+07,8928,62,368.625,5.30561e+09,3,648,1.29337e+06,3.11249e+09,289109,189299,26170.7,709457,259113,211.267,0,0,3.10513e+09,5.98375e+06,1.34592e+06,24620.2
VGG8,1.29734e+07,3312,23,284,1.23184e+09,12,3888,847274,1.10382e+09,268800,78298.1,23189.4,383737,93249.3,4.31158,0,0,1.10163e+09,1.65889e+06,527739,6828.13
# VGG16,1.40114e+08,22032,153,7921.5,2.53915e+10,12,46656,4.73762e+07,9.21229e+09,7.35974e+06,2.09735e+06,634895,2.05801e+07,1.6704e+07,422.535,0,0,9.18094e+09,1.84069e+07,1.28633e+07,73744
ResNet18,1.16789e+07,4608,32,2132,5.49229e+09,15552,4.70185e+11,2.22083e+06,8.74461e+08,435456,124094,37564.1,1.52503e+06,359293,554.577,0,0,8.70224e+08,1.69987e+06,2.53056e+06,6146.8
DenseNet40,746448,5760,40,981.879,5.64759e+08,1.0694e+32,4.48539e+38,388409,1.20041e+09,89600,4299.52,8229.24,228346,57933,21.5579,0,0,1.19887e+09,296679,1.23636e+06,392.867
LSTM,800800,720,5,683.594,8.008e+08,9,12,1.63162e+06,6.09039e+07,896000,79328.3,77459.4,568158,10677.6,0.789474,0,0,6.05402e+07,133354,229943,421.474
